person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,0,66961.0,0,0,12000.0,10.22,0.18,4.0,593,1,0
27.0,1,103022.0,7,0,12000.0,9.91,0.12,7.0,599,1,0
25.0,1,98944.0,6,1,13000.0,13.23,0.13,4.0,611,1,0
47.0,1,60950.0,23,1,4000.0,11.01,0.07,12.0,668,1,0
25.0,1,35360.0,4,0,3000.0,11.04,0.08,3.0,539,1,0
32.0,0,37152.0,8,1,4000.0,7.5,0.11,6.0,604,1,0
24.0,1,90856.0,3,1,29800.0,11.01,0.33,4.0,657,0,0
25.0,1,94842.0,4,1,16000.0,7.88,0.17,2.0,648,0,0
39.0,1,68083.0,17,0,4800.0,16.7,0.07,12.0,621,0,1
26.0,1,301162.0,5,1,9029.0,9.85,0.03,2.0,645,0,0
23.0,0,73048.0,0,0,7500.0,9.85,0.1,4.0,504,1,0
29.0,1,88437.0,4,1,12000.0,7.29,0.14,8.0,636,0,0
23.0,0,36858.0,3,0,4800.0,7.49,0.13,3.0,680,1,0
33.0,1,48926.0,14,1,14000.0,6.91,0.29,8.0,625,0,0
30.0,1,77763.0,11,1,10000.0,10.25,0.13,8.0,720,0,1
24.0,0,50597.0,2,0,11525.0,12.99,0.23,3.0,704,0,0
25.0,1,80978.0,2,0,7000.0,8.94,0.09,2.0,588,1,0
30.0,0,121606.0,5,0,20000.0,18.3,0.16,6.0,689,0,1
27.0,1,54008.0,7,0,7000.0,7.14,0.13,7.0,590,1,0
26.0,0,120166.0,4,1,15000.0,6.99,0.12,3.0,621,1,0
40.0,0,103186.0,18,0,5000.0,12.57,0.05,16.0,684,1,0
23.0,1,80313.0,1,0,24000.0,11.01,0.3,4.0,632,0,1
28.0,0,34634.0,3,0,9529.0,8.15,0.28,5.0,654,0,1
25.0,1,46255.0,1,1,5000.0,10.99,0.11,3.0,654,1,0
23.0,1,41790.0,0,1,13000.0,15.31,0.31,4.0,639,1,0
22.0,0,40113.0,2,0,12000.0,11.49,0.3,2.0,691,0,1
24.0,0,90885.0,3,0,3000.0,11.01,0.03,4.0,643,1,0
44.0,0,32651.0,22,0,5000.0,10.0,0.15,11.0,718,0,0
26.0,0,90902.0,4,1,7000.0,10.59,0.08,4.0,630,1,0
27.0,1,44927.0,4,0,9000.0,7.49,0.2,8.0,727,0,0
28.0,0,76443.0,4,1,11200.0,14.42,0.15,7.0,672,0,1
22.0,1,29781.0,2,1,5000.0,7.9,0.17,2.0,598,1,0
35.0,0,67135.0,13,0,20000.0,6.62,0.3,9.0,651,0,1
24.0,0,72828.0,4,1,2600.0,11.49,0.04,4.0,653,0,0
27.0,0,100665.0,7,0,12000.0,9.85,0.12,6.0,672,1,0
28.0,1,157305.0,10,1,5600.0,15.65,0.04,9.0,584,1,0
26.0,1,38315.0,5,0,6400.0,7.71,0.17,4.0,644,0,0
24.0,0,68501.0,0,1,15000.0,11.26,0.22,3.0,665,0,1
27.0,1,73021.0,7,0,7000.0,19.47,0.1,7.0,684,1,0
22.0,1,91022.0,0,0,10000.0,8.6,0.11,4.0,591,1,0
25.0,1,127142.0,4,1,12000.0,13.48,0.09,3.0,686,0,0
25.0,1,109378.0,4,1,7750.0,7.51,0.07,4.0,669,1,0
28.0,0,37925.0,6,1,1000.0,7.4,0.03,8.0,703,0,0
32.0,1,245848.0,13,1,25000.0,11.12,0.1,5.0,617,0,0
23.0,0,156596.0,1,1,30000.0,9.92,0.19,4.0,532,1,0
27.0,0,63206.0,4,1,14839.0,9.82,0.23,5.0,657,0,0
22.0,1,44214.0,1,0,12000.0,11.49,0.27,2.0,594,0,1
27.0,1,136498.0,6,1,19000.0,16.35,0.14,10.0,663,1,0
27.0,1,41660.0,4,1,8000.0,12.53,0.19,10.0,639,1,0
23.0,1,27004.0,2,0,5500.0,13.04,0.2,4.0,606,1,0
25.0,1,94721.0,6,1,8000.0,16.0,0.08,4.0,661,0,1
22.0,0,69883.0,0,1,9000.0,15.58,0.13,3.0,572,1,0
32.0,0,46492.0,12,0,5000.0,16.1,0.11,5.0,664,1,0
25.0,0,98100.0,4,1,10000.0,13.86,0.1,6.0,588,1,0
23.0,1,36646.0,0,0,3600.0,6.48,0.1,3.0,561,1,0
26.0,1,49958.0,5,1,8000.0,6.03,0.16,3.0,684,1,0
23.0,1,93303.0,0,1,10000.0,7.88,0.11,4.0,607,1,0
32.0,1,23874.0,8,0,5000.0,9.99,0.21,6.0,632,0,1
23.0,0,54040.0,0,1,5500.0,6.17,0.1,4.0,651,1,0
24.0,1,193028.0,2,1,17000.0,9.25,0.09,3.0,620,1,0
32.0,0,127031.0,9,1,5000.0,14.24,0.04,9.0,569,1,0
28.0,1,132911.0,9,1,15000.0,6.54,0.11,6.0,647,1,0
31.0,1,37049.0,9,0,2500.0,13.57,0.07,8.0,689,0,1
29.0,1,60928.0,4,1,21856.0,12.23,0.36,10.0,705,0,0
29.0,1,112053.0,3,1,24000.0,6.91,0.21,8.0,690,1,0
45.0,1,54811.0,22,1,14000.0,6.62,0.26,12.0,672,0,0
27.0,1,26889.0,7,0,6000.0,7.88,0.22,9.0,663,1,0
27.0,1,100914.0,3,1,2500.0,13.99,0.02,8.0,656,0,0
50.0,1,37028.0,28,0,5000.0,12.84,0.14,15.0,703,0,0
36.0,1,187069.0,12,1,25000.0,10.74,0.13,11.0,646,1,0
38.0,1,58336.0,14,1,6200.0,7.29,0.11,14.0,499,1,0
31.0,0,61360.0,5,1,3000.0,13.22,0.05,10.0,710,1,0
23.0,0,102859.0,2,1,10000.0,10.36,0.1,4.0,606,0,0
34.0,0,110394.0,13,1,15000.0,11.01,0.14,10.0,604,1,0
26.0,1,15393.0,2,0,1000.0,14.52,0.06,7.0,553,0,1
23.0,1,58711.0,0,1,12000.0,6.03,0.2,3.0,652,0,0
31.0,0,120939.0,8,1,4446.0,10.96,0.04,5.0,558,1,0
23.0,0,16451.0,2,0,2800.0,15.21,0.17,2.0,682,0,1
25.0,1,36767.0,2,1,8000.0,9.32,0.22,4.0,694,0,0
24.0,1,98274.0,1,1,10000.0,15.18,0.1,5.0,637,0,0
27.0,1,144975.0,6,1,10000.0,11.14,0.07,6.0,658,1,0
