person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
29.0,1,121094.0,7,1,20000.0,13.57,0.17,9.0,622,1,0
30.0,0,61048.0,12,0,16000.0,16.77,0.26,5.0,698,0,1
30.0,0,156689.0,6,0,8414.0,12.95,0.05,5.0,674,1,0
42.0,1,42846.0,19,0,7500.0,9.99,0.18,15.0,654,1,0
27.0,0,56208.0,5,0,8659.0,10.87,0.15,8.0,623,0,1
23.0,0,40232.0,0,0,3725.0,6.54,0.09,2.0,472,1,0
26.0,0,45583.0,3,0,2500.0,11.01,0.05,3.0,572,1,0
25.0,0,108842.0,3,1,25000.0,10.39,0.23,3.0,662,0,0
25.0,1,38067.0,4,0,6400.0,11.49,0.17,4.0,541,0,0
21.0,1,106128.0,0,1,12000.0,11.01,0.11,2.0,614,0,0
31.0,0,64565.0,5,0,6895.0,11.45,0.11,7.0,679,0,0
43.0,0,28562.0,24,0,5075.0,10.59,0.18,12.0,711,1,0
25.0,1,18701.0,3,0,1124.0,8.48,0.06,6.0,582,1,0
33.0,1,64627.0,5,0,3600.0,9.25,0.06,5.0,602,1,0
23.0,1,61177.0,2,1,2800.0,10.59,0.05,2.0,679,1,0
24.0,0,29661.0,0,0,4000.0,11.8,0.13,3.0,669,0,0
26.0,1,94562.0,3,0,18000.0,13.45,0.19,4.0,708,0,0
24.0,0,83924.0,1,0,10000.0,16.43,0.12,4.0,646,0,1
32.0,0,151061.0,10,1,9000.0,6.62,0.06,10.0,677,1,0
36.0,0,41984.0,13,0,4000.0,14.59,0.1,11.0,614,0,1
34.0,0,36840.0,15,0,12000.0,8.9,0.33,8.0,624,0,1
22.0,0,51423.0,0,0,7000.0,8.63,0.14,4.0,534,1,0
35.0,1,144724.0,12,0,12000.0,10.99,0.08,7.0,492,1,0
23.0,0,153656.0,0,1,11000.0,10.0,0.07,2.0,478,1,0
22.0,0,39139.0,1,0,2400.0,11.99,0.06,3.0,561,1,0
22.0,0,36918.0,0,1,7000.0,13.98,0.19,2.0,662,0,0
23.0,1,109401.0,2,0,18000.0,8.88,0.16,4.0,684,1,0
56.0,1,181110.0,31,0,10000.0,13.49,0.06,20.0,668,1,0
25.0,1,36806.0,0,0,4000.0,9.76,0.11,3.0,654,0,0
27.0,1,189906.0,5,1,35000.0,12.99,0.18,8.0,642,0,0
24.0,1,60953.0,2,0,15000.0,11.36,0.25,2.0,699,0,0
27.0,1,55002.0,3,0,10436.0,12.28,0.19,5.0,664,0,0
28.0,0,110593.0,5,0,4997.0,13.5,0.05,11.0,557,0,0
34.0,1,51477.0,11,0,6000.0,10.59,0.12,7.0,622,0,0
27.0,0,48863.0,4,0,6500.0,11.46,0.13,5.0,633,0,0
27.0,1,60000.0,4,1,15000.0,9.76,0.25,7.0,719,0,1
27.0,0,96717.0,6,0,8000.0,9.5,0.08,6.0,532,1,0
29.0,1,126834.0,6,1,3000.0,5.99,0.02,6.0,581,1,0
23.0,1,117270.0,4,0,10000.0,13.99,0.09,3.0,547,1,0
22.0,0,56291.0,0,0,3000.0,15.62,0.05,2.0,544,0,1
23.0,0,40125.0,0,1,3600.0,11.58,0.09,4.0,587,1,0
32.0,0,55138.0,7,1,8000.0,14.65,0.15,8.0,625,1,0
23.0,1,38457.0,0,1,7550.0,9.99,0.2,4.0,580,1,0
35.0,0,85998.0,12,0,8000.0,11.49,0.09,6.0,629,1,0
25.0,1,78691.0,0,1,12000.0,7.9,0.15,4.0,606,0,0
28.0,1,36928.0,5,0,15000.0,15.95,0.41,7.0,631,0,1
24.0,0,39232.0,3,0,8467.0,17.08,0.22,6.0,626,0,1
52.0,1,41628.0,28,0,8000.0,9.25,0.19,25.0,613,1,0
25.0,0,301136.0,0,0,25000.0,13.49,0.08,4.0,664,1,0
23.0,1,140428.0,1,1,15825.0,15.62,0.11,4.0,571,1,0
24.0,0,90781.0,0,1,5445.0,10.25,0.06,4.0,612,1,0
22.0,0,49292.0,0,0,9000.0,10.59,0.18,4.0,598,1,0
21.0,1,108947.0,0,0,4800.0,9.62,0.04,2.0,519,1,0
25.0,0,66819.0,3,0,6000.0,10.65,0.09,2.0,658,0,0
24.0,1,34790.0,2,0,9500.0,5.99,0.27,3.0,593,0,1
26.0,0,70554.0,8,1,15000.0,11.01,0.21,3.0,661,0,1
23.0,1,55865.0,1,0,12000.0,9.74,0.21,4.0,693,0,1
24.0,1,18044.0,0,0,1813.0,8.01,0.1,3.0,531,1,0
28.0,0,103007.0,6,0,8989.0,10.44,0.09,6.0,605,1,0
25.0,1,54832.0,5,1,6000.0,11.83,0.11,2.0,626,1,0
22.0,1,157098.0,0,1,24250.0,12.18,0.15,4.0,593,0,0
34.0,0,55090.0,11,1,5000.0,9.63,0.09,9.0,634,1,0
25.0,0,98704.0,6,0,25000.0,7.29,0.25,3.0,597,0,1
21.0,1,14858.0,0,1,2000.0,11.12,0.13,3.0,589,0,1
22.0,0,145051.0,0,1,8900.0,11.71,0.06,2.0,642,1,0
25.0,1,135544.0,5,1,3435.0,6.46,0.03,5.0,682,0,0
28.0,0,45434.0,5,1,12716.0,9.01,0.28,6.0,662,1,0
25.0,0,72201.0,1,0,15000.0,10.22,0.21,3.0,634,0,1
23.0,1,49010.0,2,0,8000.0,6.45,0.16,3.0,632,1,0
28.0,1,109102.0,5,1,20000.0,15.28,0.18,6.0,675,1,0
29.0,0,44140.0,7,1,3975.0,10.99,0.09,7.0,580,0,0
26.0,0,60844.0,5,1,5000.0,9.32,0.08,2.0,648,1,0
32.0,1,24196.0,4,0,8397.0,8.42,0.35,8.0,550,0,1
24.0,1,103183.0,2,1,5281.0,7.52,0.05,4.0,530,0,0
42.0,1,99997.0,17,1,6751.0,9.3,0.07,12.0,694,1,0
36.0,0,64449.0,13,1,7000.0,9.64,0.11,11.0,625,1,0
29.0,1,72363.0,8,0,9000.0,5.42,0.12,9.0,538,1,0
24.0,1,46456.0,1,0,12000.0,11.89,0.26,3.0,583,0,1
33.0,0,101856.0,11,1,20000.0,5.99,0.2,8.0,663,1,0
49.0,1,114922.0,25,1,3000.0,5.42,0.03,12.0,638,0,0
29.0,1,52287.0,4,0,5565.0,9.07,0.11,6.0,552,0,0
30.0,1,144932.0,8,1,15000.0,7.92,0.1,8.0,671,1,0
24.0,0,41021.0,2,0,7750.0,11.01,0.19,2.0,703,0,1
24.0,0,73450.0,2,1,5000.0,7.88,0.07,4.0,579,1,0
24.0,0,50882.0,2,0,6000.0,11.28,0.12,2.0,593,0,1
28.0,1,151912.0,4,1,2000.0,9.99,0.01,10.0,669,1,0
21.0,1,39517.0,0,0,15000.0,11.09,0.38,3.0,653,0,1
29.0,0,65308.0,8,1,5000.0,13.49,0.08,10.0,663,1,0
37.0,0,79466.0,14,1,10000.0,10.39,0.13,13.0,662,1,0
28.0,1,84999.0,2,0,20000.0,12.02,0.24,6.0,654,1,0
24.0,1,49973.0,2,0,10000.0,9.17,0.2,5.0,699,1,0
24.0,0,65475.0,2,1,10000.0,9.63,0.15,2.0,650,0,1
28.0,1,62824.0,7,0,12000.0,13.35,0.19,5.0,546,1,0
26.0,0,44302.0,7,0,3000.0,7.88,0.07,4.0,640,1,0
40.0,0,144895.0,19,1,17000.0,10.51,0.12,15.0,655,0,0
25.0,0,48535.0,3,1,4800.0,12.42,0.1,4.0,661,0,0
25.0,0,85162.0,2,1,10000.0,12.26,0.12,4.0,687,0,0
24.0,1,114747.0,2,0,24000.0,8.98,0.21,4.0,667,1,0
22.0,1,47303.0,0,1,10000.0,5.42,0.21,2.0,626,0,0
30.0,0,39201.0,9,0,6595.0,14.65,0.17,9.0,658,0,0
30.0,1,47230.0,9,0,9800.0,11.48,0.21,5.0,611,1,0
23.0,0,70629.0,1,0,6000.0,10.99,0.08,4.0,620,0,1
21.0,0,51338.0,0,0,13000.0,15.31,0.25,3.0,611,0,1
31.0,1,88846.0,11,0,7000.0,7.9,0.08,7.0,674,0,0
25.0,1,198923.0,3,0,14950.0,6.62,0.08,3.0,602,1,0
25.0,0,72769.0,2,0,7500.0,14.27,0.1,2.0,564,1,0
26.0,1,36956.0,2,0,3600.0,15.99,0.1,4.0,593,0,1
22.0,1,37100.0,0,1,6000.0,7.49,0.16,3.0,629,1,0
24.0,1,66904.0,0,1,6000.0,7.51,0.09,4.0,674,1,0
23.0,1,113045.0,0,1,20874.0,9.85,0.18,3.0,645,1,0
27.0,0,68135.0,6,1,10050.0,9.63,0.15,8.0,647,1,0
36.0,1,48946.0,14,1,14000.0,10.99,0.29,16.0,627,1,0
31.0,1,104646.0,11,1,25000.0,13.57,0.24,9.0,613,1,0
27.0,1,78956.0,4,0,4000.0,5.99,0.05,5.0,652,1,0
26.0,1,67234.0,4,0,10000.0,12.54,0.15,3.0,646,1,0
33.0,1,121058.0,11,1,15000.0,11.71,0.12,9.0,667,1,0
28.0,1,36895.0,4,0,10000.0,9.32,0.27,7.0,665,0,1
32.0,0,73213.0,10,0,10000.0,7.06,0.14,9.0,611,0,0
27.0,0,61038.0,5,0,18000.0,13.13,0.29,4.0,556,0,1
39.0,1,150666.0,17,1,4500.0,6.62,0.03,11.0,676,1,0
38.0,0,59646.0,13,1,5000.0,7.29,0.08,12.0,649,0,0
22.0,1,54929.0,0,0,9000.0,14.35,0.16,4.0,598,1,0
28.0,1,55927.0,6,0,11392.0,13.16,0.2,5.0,583,1,0
26.0,1,29960.0,5,1,5000.0,7.66,0.17,3.0,664,0,1
23.0,1,84543.0,0,0,8000.0,16.02,0.09,2.0,608,1,0
33.0,0,68199.0,10,0,6500.0,6.76,0.1,6.0,606,1,0
26.0,1,81605.0,3,1,10617.0,6.56,0.13,5.0,517,1,0
23.0,1,79144.0,0,1,9000.0,7.88,0.11,3.0,651,0,0
35.0,0,108879.0,12,0,12000.0,10.99,0.11,6.0,626,1,0
22.0,0,60408.0,1,0,2500.0,14.27,0.04,2.0,677,1,0
28.0,1,86102.0,7,0,21000.0,11.01,0.24,9.0,628,0,1
29.0,0,49533.0,6,1,6000.0,8.38,0.12,8.0,682,0,0
27.0,1,96929.0,1,1,12000.0,6.99,0.12,6.0,573,1,0
22.0,1,55898.0,0,0,10000.0,14.61,0.18,4.0,628,0,0
30.0,0,85160.0,10,0,8000.0,13.11,0.09,6.0,636,1,0
25.0,0,47311.0,1,0,13000.0,10.74,0.27,3.0,630,0,1
32.0,1,181071.0,8,1,6000.0,7.49,0.03,9.0,706,0,0
22.0,0,86449.0,0,1,15000.0,14.96,0.17,3.0,698,0,1
21.0,1,48967.0,0,0,6500.0,5.79,0.13,3.0,611,1,0
29.0,1,111340.0,8,1,14000.0,6.03,0.13,8.0,653,0,0
25.0,1,71718.0,1,0,3236.0,13.73,0.05,3.0,686,0,1
24.0,1,58914.0,2,1,4400.0,5.99,0.07,4.0,656,1,0
22.0,0,73821.0,0,1,6800.0,13.49,0.09,2.0,622,1,0
24.0,0,37240.0,3,0,1000.0,7.51,0.03,2.0,579,1,0
29.0,0,58222.0,8,1,3250.0,6.76,0.06,7.0,639,1,0
22.0,1,58451.0,2,0,16500.0,8.9,0.28,3.0,632,0,1
44.0,1,169197.0,19,1,21500.0,11.83,0.13,14.0,645,1,0
22.0,0,36985.0,0,0,10750.0,14.11,0.29,3.0,620,0,1
24.0,1,30951.0,3,0,2500.0,13.48,0.08,4.0,716,0,0
27.0,0,86441.0,4,0,20000.0,12.77,0.23,5.0,651,0,0
33.0,0,138904.0,12,0,14398.0,11.11,0.1,5.0,621,1,0
28.0,0,97593.0,4,1,5000.0,7.51,0.05,9.0,638,1,0
25.0,1,82669.0,7,1,6500.0,12.99,0.08,3.0,652,1,0
30.0,0,73270.0,10,1,9600.0,9.99,0.13,10.0,645,0,0
24.0,1,102926.0,1,1,7000.0,12.69,0.07,3.0,608,1,0
30.0,1,37656.0,4,0,9972.0,10.75,0.26,6.0,619,0,1
23.0,0,71255.0,2,0,20000.0,7.66,0.28,3.0,654,0,1
23.0,1,83782.0,0,1,19000.0,9.51,0.23,2.0,650,1,0
22.0,1,44093.0,1,0,10000.0,15.27,0.23,2.0,590,0,1
25.0,0,28273.0,4,0,4125.0,14.54,0.15,2.0,705,1,0
23.0,0,72951.0,2,1,7000.0,6.54,0.1,3.0,663,0,0
30.0,0,181036.0,10,1,24000.0,11.83,0.13,5.0,679,1,0
25.0,1,30362.0,2,1,11743.0,9.4,0.39,4.0,608,1,0
22.0,0,68628.0,0,1,6000.0,12.99,0.09,2.0,540,1,0
22.0,0,51350.0,0,0,3098.0,6.96,0.06,4.0,607,1,0
22.0,1,65617.0,0,0,10000.0,13.79,0.15,4.0,666,0,1
34.0,1,60933.0,10,0,4800.0,11.01,0.08,10.0,675,1,0
34.0,0,79105.0,9,1,5000.0,10.65,0.06,9.0,659,1,0
42.0,1,44212.0,21,0,8400.0,16.32,0.19,15.0,656,0,1
25.0,0,112166.0,2,0,12000.0,11.01,0.11,3.0,649,0,0
24.0,0,66952.0,3,1,18613.0,12.63,0.28,3.0,712,1,0
23.0,0,94641.0,0,0,25000.0,10.99,0.26,3.0,702,0,1
25.0,0,37085.0,0,1,12000.0,8.62,0.32,4.0,630,1,0
24.0,0,160500.0,0,1,4000.0,7.4,0.02,3.0,606,0,0
29.0,0,111694.0,6,1,25000.0,19.42,0.22,8.0,611,0,0
24.0,1,85401.0,0,1,9000.0,9.9,0.11,2.0,622,0,0
27.0,0,67056.0,3,0,17000.0,7.88,0.25,5.0,582,0,1
25.0,1,89914.0,7,0,20000.0,15.95,0.22,4.0,477,0,1
24.0,0,64526.0,0,0,5100.0,7.9,0.08,2.0,678,1,0
23.0,0,42268.0,2,0,4000.0,11.49,0.09,4.0,656,0,0
31.0,1,162877.0,10,1,20000.0,11.36,0.12,9.0,627,1,0
45.0,0,59340.0,26,0,18000.0,13.85,0.3,15.0,568,0,1
29.0,1,75350.0,4,1,9000.0,6.62,0.12,7.0,565,1,0
22.0,1,60771.0,0,0,5500.0,7.14,0.09,3.0,690,0,0
23.0,1,78918.0,0,1,5400.0,8.9,0.07,3.0,611,1,0
28.0,1,32063.0,6,0,12000.0,11.73,0.37,7.0,691,0,1
21.0,1,63923.0,0,1,4000.0,11.01,0.06,2.0,636,0,1
27.0,1,53580.0,4,0,13650.0,10.65,0.25,7.0,548,0,1
